trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
80,41.60,HO,33.2000,33.2000,0.0000,1,0,0
81,42.12,GT,118.4890,118.4890,0.0000,1,0,0
81,42.12,TR,23.8800,23.8800,0.0000,1,0,0
81,42.12,HO,33.2000,33.2000,0.0000,1,0,0
82,42.64,GT,118.4890,118.4890,0.0000,1,0,0
82,42.64,TR,23.8800,23.8800,0.0000,1,0,0
82,42.64,HO,33.2000,33.2000,0.0000,1,0,0
83,43.16,GT,118.4890,118.4890,0.0000,1,0,0
83,43.16,TR,23.8800,23.8800,0.0000,1,0,0
83,43.16,HO,33.2000,33.2000,0.0000,1,0,0
84,43.68,GT,118.4890,118.4890,0.0000,1,0,0
84,43.68,TR,23.8800,23.8800,0.0000,1,0,0
84,43.68,HO,33.2000,33.2000,0.0000,1,0,0
85,44.20,GT,118.4890,118.4890,0.0000,1,0,0
85,44.20,TR,23.8800,23.8800,0.0000,1,0,0
85,44.20,HO,33.2000,33.2000,0.0000,1,0,0
86,44.72,GT,118.4890,118.4890,0.0000,1,0,0
86,44.72,TR,23.8800,23.8800,0.0000,1,0,0
86,44.72,HO,33.2000,33.2000,0.0000,1,0,0
87,45.24,GT,118.4890,118.4890,0.0000,1,0,0
87,45.24,TR,23.8800,23.8800,0.0000,1,0,0
87,45.24,HO,33.2000,33.2000,0.0000,1,0,0
88,45.76,GT,118.4890,118.4890,0.0000,1,0,0
88,45.76,TR,23.8800,23.8800,0.0000,1,0,0
88,45.76,HO,33.2000,33.2000,0.0000,1,0,0
89,46.28,GT,118.4890,118.4890,0.0000,1,0,0
89,46.28,TR,23.8800,23.8800,0.0000,1,0,0
89,46.28,HO,33.2000,33.2000,0.0000,1,0,0
90,46.80,GT,118.4890,118.4890,0.0000,1,0,0
90,46.80,TR,23.8800,23.8800,0.0000,1,0,0
90,46.80,HO,33.2000,33.2000,0.0000,1,0,0
91,47.32,GT,118.4890,118.4890,0.0000,1,0,0
91,47.32,TR,23.8800,23.8800,0.0000,1,0,0
91,47.32,HO,33.2000,33.2000,0.0000,1,0,0
92,47.84,GT,118.4890,118.4890,0.0000,1,0,0
92,47.84,TR,23.8800,23.8800,0.0000,1,0,0
92,47.84,HO,33.2000,33.2000,0.0000,1,0,0
93,48.36,GT,118.4890,118.4890,0.0000,1,0,0
93,48.36,TR,23.8800,23.8800,0.0000,1,0,0
93,48.36,HO,33.2000,33.2000,0.0000,1,0,0
94,48.88,GT,118.4890,118.4890,0.0000,1,0,0
94,48.88,TR,23.8800,23.8800,0.0000,1,0,0
94,48.88,HO,33.2000,33.2000,0.0000,1,0,0
95,49.40,GT,118.4890,118.4890,0.0000,1,0,0
95,49.40,TR,23.8800,23.8800,0.0000,1,0,0
95,49.40,HO,33.2000,33.2000,0.0000,1,0,0
96,49.92,GT,118.4890,118.4890,0.0000,1,0,0
96,49.92,TR,23.8800,23.8800,0.0000,1,0,0
96,49.92,HO,33.2000,33.2000,0.0000,1,0,0
97,50.44,GT,118.4890,118.4890,0.0000,1,0,0
97,50.44,TR,23.8800,23.8800,0.0000,1,0,0
97,50.44,HO,33.2000,33.2000,0.0000,1,0,0
98,50.96,GT,118.4890,118.4890,0.0000,1,0,0
98,50.96,TR,23.8800,23.8800,0.0000,1,0,0
98,50.96,HO,33.2000,33.2000,0.0000,1,0,0
99,51.48,GT,118.4890,118.4890,0.0000,1,0,0
99,51.48,TR,23.8800,23.8800,0.0000,1,0,0
99,51.48,HO,33.2000,33.2000,0.0000,1,0,0
100,52.00,GT,118.4890,118.4890,0.0000,1,0,0
100,52.00,TR,23.8800,23.8800,0.0000,1,0,0
100,52.00,HO,33.2000,33.2000,0.0000,1,0,0
